wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5580.1,-0.0062253,-1861.364779,5614.837798,34.691,0.022,,,,,5704.3,34.791,0.104,5006.9
5584.9,-0.00536049,-1602.786371,5614.837798,34.574,0.036,,,,,5704.3,34.791,0.104,
5588.5,-0.004712856,-1409.144064,5614.837798,34.711,0.03,,,,,5704.3,34.791,0.104,
5590.3,-0.004389353,-1312.416436,5614.837798,34.699,0.035,,,,,5704.3,34.791,0.104,
5591.2,-0.004227679,-1264.075977,5614.837798,34.636,0.031,,,,,5704.3,34.791,0.104,
5591.8,-0.004119925,-1231.857649,5614.837798,34.636,0.031,,,,,5704.3,34.791,0.104,
5592.4,-0.004012195,-1199.646235,5614.837798,34.58,0.031,,,,,5704.3,34.791,0.104,
5593,-0.003904487,-1167.441731,5614.837798,34.566,0.03,,,,,5704.3,34.791,0.104,
5593.6,-0.003796803,-1135.244137,5614.837798,34.599,0.03,,,,,5704.3,34.791,0.104,
5594.2,-0.003689142,-1103.053449,5614.837798,34.556,0.033,,,,,5704.3,34.791,0.104,
5594.8,-0.003581504,-1070.869665,5614.837798,34.556,0.028,,,,,5704.3,34.791,0.104,
5595.4,-0.003473889,-1038.692784,5614.837798,34.578,0.041,,,,,5704.3,34.791,0.104,
5596,-0.003366297,-1006.522802,5614.837798,34.523,0.039,,,,,5704.3,34.791,0.104,
5596.6,-0.003258728,-974.3597188,5614.837798,34.571,0.036,,,,,5704.3,34.791,0.104,
5597.2,-0.003151182,-942.2035307,5614.837798,34.494,0.022,,,,,5704.3,34.791,0.104,
5597.8,-0.00304366,-910.0542359,5614.837798,34.544,0.029,,,,,5704.3,34.791,0.104,
5598.4,-0.00293616,-877.9118323,5614.837798,34.524,0.026,,,,,5704.3,34.791,0.104,
5599,-0.002828683,-845.7763176,5614.837798,34.513,0.015,,,,,5704.3,34.791,0.104,
5599.6,-0.00272123,-813.6476895,5614.837798,34.521,0.014,,,,,5704.3,34.791,0.104,
5600.2,-0.002613799,-781.5259459,5614.837798,34.483,0.014,,,,,5704.3,34.791,0.104,
5600.8,-0.002506392,-749.4110845,5614.837798,34.543,0.015,,,,,5704.3,34.791,0.104,
5601.4,-0.002399007,-717.3031032,5614.837798,34.564,0.013,,,,,5704.3,34.791,0.104,
5602,-0.002291645,-685.2019996,5614.837798,34.459,0.024,,,,,5704.3,34.791,0.104,
5602.6,-0.002184307,-653.1077717,5614.837798,34.456,0.025,,,,,5704.3,34.791,0.104,
5603.2,-0.002076991,-621.0204173,5614.837798,34.43,0.026,,,,,5704.3,34.791,0.104,
5603.8,-0.001969699,-588.939934,5614.837798,34.442,0.029,,,,,5704.3,34.791,0.104,
5604.4,-0.001862429,-556.8663197,5614.837798,34.506,0.015,,,,,5704.3,34.791,0.104,
5605,-0.001755183,-524.7995722,5614.837798,34.423,0.026,,,,,5704.3,34.791,0.104,
5605.6,-0.001647959,-492.7396892,5614.837798,34.415,0.024,,,,,5704.3,34.791,0.104,
5606.2,-0.001540758,-460.6866687,5614.837798,34.408,0.024,,,,,5704.3,34.791,0.104,
5606.8,-0.00143358,-428.6405083,5614.837798,34.422,0.024,,,,,5704.3,34.791,0.104,
5607.4,-0.001326425,-396.6012059,5614.837798,34.472,0.028,,,,,5704.3,34.791,0.104,
5608,-0.001219294,-364.5687593,5614.837798,34.444,0.024,,,,,5704.3,34.791,0.104,
5608.6,-0.001112185,-332.5431662,5614.837798,34.463,0.023,,,,,5704.3,34.791,0.104,
5609.2,-0.001005098,-300.5244245,5614.837798,34.494,0.014,,,,,5704.3,34.791,0.104,
5609.8,-0.000898035,-268.512532,5614.837798,34.476,0.024,,,,,5704.3,34.791,0.104,
5610.4,-0.000790995,-236.5074865,5614.837798,34.513,0.028,,,,,5704.3,34.791,0.104,
5611,-0.000683978,-204.5092857,5614.837798,34.443,0.027,,,,,5704.3,34.791,0.104,
5611.6,-0.000576983,-172.5179275,5614.837798,34.479,0.027,,,,,5704.3,34.791,0.104,
5612.2,-0.000470011,-140.5334097,5614.837798,34.483,0.012,,,,,5704.3,34.791,0.104,
5613.1,-0.000309597,-92.56945396,5614.837798,34.478,0.027,,,,,5704.3,34.791,0.104,
5614.3,-9.58E-05,-28.64143384,5614.837798,34.5,0.028,,,,,5704.3,34.791,0.104,
5615.5,0.000117924,35.25926418,5614.837798,34.517,0.031,,,,,5704.3,34.791,0.104,
5616.7,0.000331547,99.13265761,5614.837798,34.502,0.017,,,,,5704.3,34.791,0.104,
5617.9,0.000545079,162.978764,5614.837798,34.53,0.055,,,,,5704.3,34.791,0.104,
5619.1,0.00075852,226.7976007,5614.837798,34.439,0.019,,,,,5704.3,34.791,0.104,
5620.9,0.001078511,322.4747635,5614.837798,34.391,0.024,,,,,5704.3,34.791,0.104,
5623.3,0.001504846,449.9490331,5614.837798,34.415,0.018,,,,,5704.3,34.791,0.104,
5626.9,0.002143667,640.9565477,5614.837798,34.578,0.02,,,,,5704.3,34.791,0.104,
5630.5,0.002781672,831.7198114,5614.837798,34.659,0.077,,,,,5704.3,34.791,0.104,
