wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,star cont,scentre,error,OIII wave
5595.7,-0.000207843,-62.14505299,5596.863027,35.042,0.116,5610.7,32.093,0.063,
5596.1,-0.00013635,-40.76858401,5596.863027,35.058,0.098,5610.7,32.093,0.063,
5596.3,-0.000100607,-30.08149545,5596.863027,34.996,0.083,5610.7,32.093,0.063,
5596.7,-2.91291E-05,-8.70960977,5596.863027,34.869,0.08,5610.7,32.093,0.063,
5597.1,4.23385E-05,12.6592212,5596.863027,34.73,0.082,5610.7,32.093,0.063,
5597.5,0.000113796,34.02499812,5596.863027,34.554,0.09,5610.7,32.093,0.063,
5597.9,0.000185243,55.38772165,5596.863027,34.379,0.114,5610.7,32.093,0.063,
5598.3,0.00025668,76.74739242,5596.863027,33.679,0.167,5610.7,32.093,0.063,
5598.7,0.000328107,98.10401111,5596.863027,33.477,0.259,5610.7,32.093,0.063,
5599.3,0.000435228,130.1332179,5596.863027,32.89,0.16,5610.7,32.093,0.063,
5600.1,0.000578021,172.8281507,5596.863027,33.208,0.266,5610.7,32.093,0.063,
