wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5297.35,-0.003440472,-1028.701165,5315.575385,32.92,0.039,,,,,5392.9,33.346,0.082,5006.9
5330.3,0.002762436,825.968498,5315.575385,32.955,0.038,,,,,5392.9,33.346,0.082,
5299.7,-0.002995525,-895.6620403,5315.575385,33.073,0.048,,,,,5392.9,33.346,0.082,
5301.5,-0.002654982,-793.8395011,5315.575385,32.993,0.057,,,,,5392.9,33.346,0.082,
5302.7,-0.002428081,-725.9962123,5315.575385,33.082,0.052,,,,,5392.9,33.346,0.082,
5303.9,-0.002201283,-658.1836224,5315.575385,33.046,0.045,,,,,5392.9,33.346,0.082,
5304.9,-0.002012363,-601.6965664,5315.575385,33.044,0.04,,,,,5392.9,33.346,0.082,
5306.3,-0.001747995,-522.6504561,5315.575385,33.055,0.037,,,,,5392.9,33.346,0.082,
5307.5,-0.001521504,-454.929838,5315.575385,33.064,0.031,,,,,5392.9,33.346,0.082,
5308.4,-0.001351704,-404.1594671,5315.575385,33.047,0.037,,,,,5392.9,33.346,0.082,
5309,-0.001238536,-370.3221162,5315.575385,33.05,0.04,,,,,5392.9,33.346,0.082,
5309.6,-0.001125393,-336.4924128,5315.575385,32.944,0.039,,,,,5392.9,33.346,0.082,
5310.2,-0.001012275,-302.6703542,5315.575385,32.945,0.045,,,,,5392.9,33.346,0.082,
5310.8,-0.000899184,-268.8559379,5315.575385,32.883,0.065,,,,,5392.9,33.346,0.082,
5311.4,-0.000786118,-235.0491612,5315.575385,32.83,0.078,,,,,5392.9,33.346,0.082,
5312,-0.000673077,-201.2500216,5315.575385,32.969,0.023,,,,,5392.9,33.346,0.082,
5312.6,-0.000560062,-167.4585165,5315.575385,32.961,0.026,,,,,5392.9,33.346,0.082,
5313.2,-0.000447072,-133.6746433,5315.575385,32.996,0.055,,,,,5392.9,33.346,0.082,
5313.8,-0.000334108,-99.89839945,5315.575385,33.069,0.05,,,,,5392.9,33.346,0.082,
5314.4,-0.00022117,-66.12978229,5315.575385,33.106,0.042,,,,,5392.9,33.346,0.082,
5315,-0.000108257,-32.36878928,5315.575385,32.919,0.067,,,,,5392.9,33.346,0.082,
5315.6,4.63E-06,1.384582173,5315.575385,32.972,0.038,,,,,5392.9,33.346,0.082,
5316.2,0.000117493,35.13033464,5315.575385,33.02,0.033,,,,,5392.9,33.346,0.082,
5316.8,0.000230329,68.8684707,5315.575385,33.017,0.038,,,,,5392.9,33.346,0.082,
5317.4,0.00034314,102.5989929,5315.575385,32.809,0.064,,,,,5392.9,33.346,0.082,
5318,0.000455926,136.3219039,5315.575385,32.849,0.048,,,,,5392.9,33.346,0.082,
5318.6,0.000568686,170.0372062,5315.575385,32.926,0.05,,,,,5392.9,33.346,0.082,
5319.2,0.000681421,203.7449024,5315.575385,32.867,0.082,,,,,5392.9,33.346,0.082,
5319.8,0.00079413,237.4449951,5315.575385,33.05,0.046,,,,,5392.9,33.346,0.082,
5320.4,0.000906814,271.1374868,5315.575385,32.912,0.033,,,,,5392.9,33.346,0.082,
5321,0.001019473,304.8223802,5315.575385,33.093,0.054,,,,,5392.9,33.346,0.082,
5321.6,0.001132106,338.4996777,5315.575385,33.173,0.03,,,,,5392.9,33.346,0.082,
5322.2,0.001244714,372.169382,5315.575385,33.01,0.024,,,,,5392.9,33.346,0.082,
5322.8,0.001357296,405.8314956,5315.575385,32.84,0.029,,,,,5392.9,33.346,0.082,
5323.4,0.001469853,439.4860212,5315.575385,32.912,0.03,,,,,5392.9,33.346,0.082,
5324,0.001582384,473.1329611,5315.575385,32.912,0.028,,,,,5392.9,33.346,0.082,
5324.9,0.001751134,523.5891538,5315.575385,32.765,0.019,,,,,5392.9,33.346,0.082,
5326.1,0.001976045,590.8375519,5315.575385,32.77,0.019,,,,,5392.9,33.346,0.082,
5327.3,0.002200855,658.0556539,5315.575385,32.8,0.065,,,,,5392.9,33.346,0.082,
5328.5,0.002425563,725.2434803,5315.575385,32.816,0.029,,,,,5392.9,33.346,0.082,
5329.7,0.002650171,792.4010517,5315.575385,32.746,0.018,,,,,5392.9,33.346,0.082,
5330.9,0.002874677,859.5283883,5315.575385,32.816,0.02,,,,,5392.9,33.346,0.082,
5332.1,0.003099082,926.6255106,5315.575385,32.783,0.022,,,,,5392.9,33.346,0.082,
5333.9,0.0034355,1027.214587,5315.575385,32.84,0.037,,,,,5392.9,33.346,0.082,
5336.3,0.003883705,1161.227795,5315.575385,32.802,0.021,,,,,5392.9,33.346,0.082,
5338.7,0.004331507,1295.120513,5315.575385,32.674,0.063,,,,,5392.9,33.346,0.082,
5341.1,0.004778906,1428.892903,5315.575385,32.777,0.033,,,,,5392.9,33.346,0.082,
5343.3,0.005188669,1551.412027,5315.575385,32.645,0.052,,,,,5392.9,33.346,0.082,
5345.9,0.005672499,1696.077346,5315.575385,32.759,0.073,,,,,5392.9,33.346,0.082,
5348.3,0.006118695,1829.489723,5315.575385,32.759,0.073,,,,,5392.9,33.346,0.082,
